operator,scenario,pass,speedup,baseline_ms,candidate_ms,err_ratio,mean_abs_diff,failure_reason
attention_impl,tokens-16384/5b8d9a54,PASS,0.1700900068676147,1.5302190004149452,8.996525008114986,0.2590673565864563,3.956925866077654e-05,
encoder_embeddings,tokens-13692/3a8c5d97,PASS,1.0383900331919773,0.259745997027494,0.25014299899339676,0.0005412361351773143,1.7230454563144093e-10,
encoder_mlp,tokens-13692/78c6f4c4,PASS,0.9351527541972312,0.31352399673778564,0.3352650091983378,0.011954572051763535,1.4494506983542266e-10,
flux_attention,tokens-4/e67ec654,PASS,0.8748895465128008,6.916896003531292,7.906022001407109,0.023668639361858368,3.147641336909146e-06,
flux_attention,tokens-8/1b9db01c,PASS,0.9924200852494571,3.4791380021488294,3.505710992612876,0.023674244061112404,4.109392193640815e-06,
flux_attention,tokens-4/8f852760,PASS,0.8930219447957474,5.9113150055054575,6.619451000005938,0.023674244061112404,6.964862109271053e-07,
flux_attention,tokens-8/856ec4a3,PASS,0.9828628395325596,2.808275996358134,2.857240993762389,0.023668639361858368,9.130376952271035e-07,
flux_feedforward,tokens-4/00bc078e,PASS,0.6330661203078052,0.44452700240071863,0.7021810015430674,0.0,0.0,
flux_feedforward,tokens-4/0c046db6,PASS,0.48561988512402854,3.2967850129352883,6.788817991036922,0.0,0.0,
flux_feedforward,tokens-8/849f919d,PASS,0.56153733472003,1.663614995777607,2.9626079922309145,0.0,0.0,
flux_feedforward,tokens-8/9347df7c,PASS,0.6122360629275897,0.840755004901439,1.3732529914705083,0.0,0.0,
fused_experts,tokens-3/9daa2c7e,PASS,0.9969152381704716,0.2313919976586476,0.23210799554362893,0.018255949020385742,2.5574139726813883e-05,
fused_experts,tokens-68/68202a91,PASS,0.8950613679929945,0.8539699920220301,0.9540909959468991,0.03199610114097595,2.359359132242389e-05,
fused_experts,tokens-100/4937b4eb,PASS,0.8961731106635246,0.8518690010532737,0.9505630005151033,0.04255901277065277,2.055359072983265e-05,
fused_experts,tokens-5435/1acacdcc,PASS,0.9729709496379275,2.609367002150975,2.6818549958989024,0.09036144614219666,2.03794570552418e-05,
fused_experts,tokens-16384/2d98e865,PASS,1.0002966647600708,7.141497000702657,7.1393789985449985,0.07581041753292084,2.0426674382179044e-05,
gla_attention,tokens-1/2353c211,PASS,0.7969999818827854,0.38537499494850636,0.4835319996345788,0.0030391444452106953,3.833712071354967e-06,
gla_attention,tokens-4/23973eda,PASS,0.845757590530011,0.3751619951799512,0.44358099694363773,0.0030451135244220495,3.175958454448846e-06,
gla_attention,tokens-8/4491c64d,PASS,0.8117867942618604,0.3656579938251525,0.45043599675409496,0.0030397907830774784,3.3857140806503594e-06,
gla_attention,tokens-32/cdaad4d2,PASS,0.7995780714961406,0.3615580062614754,0.4521859955275431,0.003044835291802883,3.2342256872652797e-06,
gla_attention,tokens-64/ee7e6b7b,PASS,0.8429308942629952,0.3971839905716479,0.4711940127890557,0.0030450669582933187,3.293190957265324e-06,
gla_attention,tokens-100/54aa1f63,PASS,0.6559824366610147,13.991227009682916,21.328660994186066,0.006079581566154957,3.2920713692874415e-06,
gla_attention,tokens-100/73471e43,PASS,0.6335946667395513,13.465144991641864,21.25198600697331,0.006079397164285183,3.2932875910773873e-06,
gla_attention,tokens-1/7bdeaa82,PASS,0.9722051267623465,0.732156986487098,0.7530889997724444,0.00304868770763278,3.2758603083493654e-06,
gla_attention,tokens-1/8b82a4a3,PASS,0.7567991563443396,2.868317998945713,3.7900650058872998,0.006077919155359268,3.2879434002097696e-06,
gla_attention,tokens-1/aea26060,PASS,0.9621465324975847,0.7021630008239299,0.7297880074474961,0.003050483763217926,3.2801865472720237e-06,
gla_mlp,tokens-1/63cf5834,PASS,0.5994863033917968,0.15662299119867384,0.26126200100407004,0.0,0.0,
gla_mlp,tokens-1/8eb472d7,PASS,0.4461937469726729,0.08607300696894526,0.19290500495117158,0.08525149524211884,9.523704989078396e-07,
gla_mlp,tokens-1/c4ee0e65,PASS,0.4879968210697215,3.5321810137247667,7.238122998387553,0.0,0.0,
